artist	name	id	year	rank	lang	nation
少女时代-TaeTiSeo	Twinkle	5376238	2012	21	kr	kr
潘玮柏	U U U	25638923	2011	46	ch	ch
Mark Ronson	Uptown Funk	29722263	2015	31	en	
Lana Del Rey	Video Games - Album Version Remastered	16593582	2012	45	en	
SHINee	View	32102385	2015	69	kr	
浜崎あゆみ	Virgin Road(Original mix)	574588	2010	11	jp	jp
Shakira	Waka Waka (This Time For Africa) (Feat. Freshlyground)	28184565	2010	14	en	
Miley Cyrus	We Can't Stop	27804045	2013	75	en	
Rihanna	We Found Love	21562960	2012	70	en	
2 Chainz	We Own It (feat. Wiz Khalifa)	26368846	2013	46	en	
Westlife	What About Now	20707687	2010	71	en	
Bon Jovi	What Do You Got?	16850613	2010	39	en	
Justin Bieber	What Do You Mean?	34228719	2015	14	en	en
Avril Lavigne	What The Hell	25638752	2011	8	en	
Bruno Mars	When I Was Your Man	25657229	2013	19	en	en
东方神起	WHY (Keep Your Head Down)	25638884	2011	42	kr	kr
Miley Cyrus	Wrecking Ball	27697195	2013	43	en	
Sam Smith	Writing's On the Wall	34922419	2015	61	en	
Mariah Carey	You're Mine (Eternal)	28253180	2014	43	en	
Lana Del Rey	Young And Beautiful	26243686	2013	50	en	
Christina Aguilera	Your Body	25731730	2012	58	en	
嵐	Your Eyes	769834	2012	39	jp	
五月天	YOUR LEGEND ~燃ゆる命~	32648342	2015	45	jp	ch
GD&TOP	ZUTTER (GD&T.O.P)	33715026	2015	57	kr	
曺圭贤	광화문에서(At Gwanghwamun)	29728006	2015	21	kr	
泰民	괴도(Danger)	28949600	2014	49	kr	kr
白智英	그여자	25639049	2011	77	kr	kr
2NE1	내가 제일 잘 나가	25638790	2011	15	kr	
Trouble Maker	내일은 없어	27896639	2013	66	kr	
SUPER JUNIOR-D&E(东海&银赫)	너는 나만큼(Growing Pains)	30870519	2015	26	kr	kr
郑容和	넌 내게 반했어	5397424	2012	28	kr	kr
太阳	링가 링가(RINGA LINGA)	27946788	2013	14	kr	kr
李洪基	말이야	27808413	2014	11	kr	kr
Super Junior	미인아(Bonamana)	5391574	2010	7	kr	kr
2PM	미친거 아니야?	29375434	2014	62	kr	
曺圭贤	밀리언조각(A Million Pieces)	35447065	2015	74	kr	
F.T Island	바래	22750405	2010	34	kr	
BIGBANG	뱅뱅뱅(BANG BANG BANG)	32408002	2015	18	kr	
G-Dragon	삐딱하게(Crooked)	28029029	2013	44	kr	
