"uid","Employer","JobLocation","RankorTitle","Specialty","Deadline","DatePosted","ApplicationStatus","OpenUntilFilled","JobSubLocation","lon","lat"
117,"Amazon.com (Ivona Software)","Poland","Japanese TTS linguist","Computational Linguistics;Phonetics;Phonology;Japanese ",2015-11-30,2015-10-27,FALSE,FALSE,"Gdansk",18.6466384,54.3520252
118,"Amazon.com (Ivona Software)","Poland","French TTS linguist","Computational Linguistics;Phonetics;Phonology;French ",2015-11-30,2015-10-27,FALSE,FALSE,"Gdansk",18.6466384,54.3520252
119,"Amazon.com (Ivona Software)","Poland","German TTS Linguist","Computational Linguistics;Phonetics;Phonology;German ",2015-11-30,2015-10-27,FALSE,FALSE,"Gdansk",18.6466384,54.3520252
120,"Nazarbayev University, School of Humanities and Social Sciences","Kazakhstan","Assistant Professor ","Applied Linguistics;Ling & Literature;Language Acquisition;Chinese, Mandarin ",2015-11-30,2015-10-27,TRUE,TRUE,"Astana",71.4703558,51.1605227
121,"University of Macau","Macau","Full Professor Director of English Language Centre","Applied Linguistics;Language Acquisition;English",2016-04-26,2015-10-27,TRUE,TRUE,"Macau",113.5575513,22.1634112
122,"University of Macau","Macau","Associate Professor Director of English Language Centre","Applied Linguistics;Language Acquisition;English",2016-04-26,2015-10-27,TRUE,TRUE,"Macau",113.5575513,22.1634112
123,"University of Colorado Boulder","USA","Assistant Professor ","Applied Linguistics;Sociolinguistics;Language Acquisition;Bilingualism; Spanish",NA,2015-10-26,TRUE,TRUE,"Colorado",-105.2555329,40.0077396
124,"Artificial Solutions","Sweden","Consultant Computational Linguist, Language Engineer, Knowledge Engineer","Computational Linguistics;General Linguistics;Semantics;Syntax; Swedish",NA,2015-10-23,TRUE,TRUE,"Stockholm",18.0685808,59.3293235
125,"Artificial Solutions","Spain","Consultant Computational Linguist, Language Engineer, Knowledge Engineer","Computational Linguistics;Discourse Analysis;Semantics;Syntax; Text/Corpus Linguistics;German",2015-12-31,2015-10-23,TRUE,FALSE,"Barcelona",2.1734035,41.3850639
126,"Artificial Solutions","Spain","Programmer Computational Linguist, Language Engineer, Knowledge Engineer","Computational Linguistics;Discourse Analysis;Semantics;Syntax; Text/Corpus Linguistics;German",2015-12-31,2015-10-23,TRUE,FALSE,"Barcelona",2.1734035,41.3850639
127,"University of Bristol","United Kingdom","Post Doc ","Text/Corpus Linguistics;Anthropological Linguistics;Kinship",2015-10-29,2015-10-23,FALSE,FALSE,"Bristol",-2.6054043,51.4569888
128,"Högskolan Dalarna","Sweden","Lecturer ","Applied Linguistics;Discourse Analysis;General Linguistics;English ",2015-11-20,2015-10-23,FALSE,FALSE,"Falun",15.4102793,60.4872057
129,"San Jose State University","USA","Assistant Professor Tenure track Assistant Professor in Quantitative Sociolinguistics","Morphology;Phonetics;Sociolinguistics;Syntax; Spanish",2015-11-15,2015-10-22,FALSE,FALSE,"California",-121.8832,37.3229926
130,"Fordham University","USA","Assistant Professor ","Applied Linguistics;General Linguistics;Sociolinguistics;Anthropological Linguistics ",NA,2015-10-21,TRUE,TRUE,"New York",-147.8037019,64.8893949
131,"Heinrich Heine Univerity Duesseldorf, Germany","Germany","Post Doc ","Semantics;English;German;Slavic ",2015-11-15,2015-10-20,TRUE,TRUE,"Duesseldorf",6.7734556,51.2277411
